Machine,WorkflowNum,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,8330435694,2831.5,12686,0.776801198171212,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,25705994498,2831.5,29183,0.902974334372751,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,14754556884,2831.5,18941,0.850509476796368,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19100037384,2831.5,18547,0.847333800614655,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19132169434,2831.5,18374,0.845896375312942,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,Lotaru,Realtime,19075314980,2831.5,20088,0.859045201115094,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,8330435694,2851.85953191987,12686,0.775196316260455,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,25705994498,2851.85953191987,29183,0.902276683962585,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,14754556884,2851.85953191987,18941,0.849434584661851,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19100037384,2851.85953191987,18547,0.846236074194216,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19132169434,2851.85953191987,18374,0.84478831327311,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,OnlineP,Realtime,19075314980,2851.85953191987,20088,0.858031683994431,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,8330435694,2831.5,12686,0.776801198171212,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,25705994498,2831.5,29183,0.902974334372751,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,14754556884,2831.5,18941,0.850509476796368,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19100037384,2831.5,18547,0.847333800614655,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19132169434,2831.5,18374,0.845896375312942,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,OnlineM,Realtime,19075314980,2831.5,20088,0.859045201115094,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,8330435694,3322.5,12686,0.738097114929844,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,25705994498,3322.5,29183,0.886149470582188,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,14754556884,3322.5,18941,0.824586875032997,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,19100037384,3322.5,18547,0.820860516525584,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,19132169434,3322.5,18374,0.819173832589529,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,Naive,Realtime,19075314980,3322.5,20088,0.834602747909199,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,8330435694,2831.5,12686,0.776801198171212,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,25705994498,2831.5,29183,0.902974334372751,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,14754556884,2831.5,18941,0.850509476796368,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19100037384,2831.5,18547,0.847333800614655,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19132169434,2831.5,18374,0.845896375312942,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,Lotaru-A,Realtime,19075314980,2831.5,20088,0.859045201115094,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,8330435694,12686,12686,0,678428015,8330435694,817039081,22546,10502144,2,101.3
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,25705994498,29183,29183,0,678428015,25705994498,1105448817,32401,10756096,2,99.8
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,14754556884,18941,18941,0,678428015,14754556884,938613215,26141,10252288,2,96.5
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19100037384,18547,18547,0,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,18374,18374,0,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19075314980,20088,20088,0,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,5552707,1,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,10657795,1,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,7770035,1,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,6603045,1,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,6500992,1,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,6643508,1,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973264.30640821,5552707,0.644630212541702,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437907.34578796,10657795,0.77125593560507,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152908.13008809,7770035,0.722921694678584,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195668.05449855,6603045,0.667476436326187,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196495.95026539,6500992,0.662129110408782,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195742.59285381,6643508,0.669490487126108,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973264.30640821,5552707,0.644630212541702,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437907.34578796,10657795,0.77125593560507,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152908.13008809,7770035,0.722921694678584,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195668.05449855,6603045,0.667476436326187,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196495.95026539,6500992,0.662129110408782,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195742.59285381,6643508,0.669490487126108,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847253.354023631,5552707,0.847416160437849,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046755.45430477,10657795,0.901784988892659,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,14754556884,924386.372468309,7770035,0.881031890787067,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19100037384,942746.046464798,6603045,0.857225560863995,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19132169434,943101.517074062,6500992,0.854929598886745,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19075314980,942778.050728641,6643508,0.858090326567133,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,5552707,1,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,10657795,1,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
